n,mean_cost,std,seed0,seed1,seed2,c_end,use_value_guided
200000,429.468112,7.575799,421.442083,427.334888,439.627364,1,False
250000,515.145,14.31,504.5665750207314,505.4936217743591,535.3762998657271,1,False
300000,598.117,34.465,557.409505360429,595.2555449405126,641.6856966592193,1,False
350000,453.922,24.774,427.81699129885214,446.73871979623505,487.2109145126309,1,False
400000,508.139,45.535,446.8143237764456,521.7835499416154,555.8192257177662,1,False
450000,506.514,34.096,462.30012781680495,511.9597236640995,545.282568786902,1,False
500000,537.461,15.048,517.8484757840725,540.1128647059344,554.4214382730278,1,False
550000,587.769,48.980,520.4879113156356,607.1436241691587,635.6753901113161,1,False
600000,642.627,41.394,595.2132458612977,636.598518155084,696.0680758311371,1,False
650000,697.582,29.633,655.8693695625843,714.9505956139664,721.9263915189613,1,False
700000,715.573,63.810,625.4513900363106,764.65441227153,756.6125374471733,1,False
